Red,Green,Blue,Gray_Average,Gray_Median,Gray_SD,Gray_Max,Gray_Min,Gray_Skewness,Gray_Kurtusis,Gray_IQR,Area_Mean,Area_SD,BoundingBox_Mean,BoundingBox_SD,BoundingBox_Skewness,BoundingBox_Kurtusis,Eccentricity_Mean,Eccentricity_SD,FilledArea_Mean,FilledArea_SD,Area,Entropy,Above_Red,Above_Green,Above_Blue,Below_Red,Below_Green,Below_Blue,Target
144.47645,130.92081,115.99281,0.03415,0,0.03114,1,0,0.20634,5.1195,0,5464,0,189.5,217.72804,0.01768,1.02354,0.62982,0,5564,0,160000,0.21479,92919,67081,82246,77754,80785,79215,0
98.40681,86.64236,74.39407,0.0361,0,0.05355,1,0,2.79494,50.24831,0,5776,0,199.75,223.22056,0,1.00267,0.54758,0,5855,0,160000,0.22412,73077,86923,67911,92089,60569,99431,0
106.41589,92.98227,73.1879,0.03556,0,0.04274,1,0,1.93346,16.66738,0,5689,0,199.75,228.91938,0,1,0.54766,0,6044,0,160000,0.22153,72793,87207,65299,94701,58937,101063,0
106.45861,67.42479,66.26523,0.02594,0,0.06559,1,0,0.47621,3.56916,0,4151,0,199.75,216.92491,0,1.00478,0.57301,0,4220,0,160000,0.17362,66177,93823,81938,78062,72676,87324,0
89.67401,68.87454,63.63649,0.03263,0,0.04322,1,0,1.00542,6.43353,0,5220,0,199.75,228.91938,0,1,0.6708,0,5875,0,160000,0.20739,73358,86642,80127,79873,71952,88048,0
115.95116,86.06029,43.02028,0.06358,0,0.04427,1,0,-0.00133,2.85515,0,10173,0,199.75,228.91938,0,1,0.53073,0,10693,0,160000,0.3415,83089,76911,75867,84133,63459,96541,0
98.21233,72.00241,53.84394,0.02143,0,0.04579,1,0,1.13952,10.65998,0,3429,0,199.75,228.91938,0,1,0.81072,0,3446,0,160000,0.1494,65672,94328,76800,83200,54410,105590,0
100.76245,74.44395,37.46227,0.05094,0,0.07987,1,0,2.16334,17.8096,0,8150,0,199.75,228.91938,0,1,0.59948,0,8301,0,160000,0.29037,65825,94175,72394,87606,53550,106450,0
89.83748,68.49257,40.53597,0.07393,0,0.05985,1,0,0.74781,17.16527,0,11829,0,199.75,228.91938,0,1,0.57123,0,12341,0,160000,0.38043,66254,93746,69198,90802,56186,103814,0
100.10674,66.13748,27.7367,0.01493,0,0.07493,1,0,0.71585,11.00473,0,2389,0,172.25,202.21461,0.14426,1.18998,0.70951,0,2544,0,160000,0.11195,60359,99641,79234,80766,51647,108353,0
